1, VC2, [(1723000, 200)], []
2, VC2, [(1723000, 200), (1710000, 15)], []
3, VC2, [(1723000, 200), (1710000, 21)], []
4, VC2, [(1723000, 200), (1710000, 21), (1706100, 100)], []
5, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10)], []
6, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 590)], []
7, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 690)], []
8, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 699)], []
9, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 739)], []
10, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
11, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
12, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
13, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
14, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
15, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
16, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
17, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
18, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
19, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
20, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
21, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
22, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
23, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
24, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
